"applicant_id","user_id","bunkhouse_id","tribe_id","camp_time_slots","applicant_first_name","applicant_last_name","applicant_age","applicant_gender","applicant_address","guardian_first_name","guardian_last_name","guardian_contact_number","guardian_address","application_date","emergency_contact","payment","medical_form","legal_form","helmet","boot","sleeping_bag","water_bottle","sunscreen","bugs_spray","check_in_status","application_status","acceptance_packet","mailing_date","rejected_reason","guardian_ssn","cancel_flag","refund","cancel_date","applicant_name_together_with","applicant_id_together_with","applicant_name_not_together_with","applicant_id_not_together_with"
"1","1","","","2017-07-09 00:00:00.000000","JEMIN","GOHIL","21","MALE","Cecilia Chapman, 711-2880 Nulla St. Mankato Mississippi -96522, (257)563-7401","SANJIV","GOHIL","9098912122","Cecilia Chapman, 711-2880 Nulla St. Mankato Mississippi -96522, (257)563-7401","2016-11-20 15:54:13.327180","9098912122","1000","","","","","","","","","","0","","","AGE IS NOT BETWEEN 8 AND 19","342-909-8982","","","","BUTT, JAMES","9","NONE","NONE"
"2","1","","","2017-07-09 00:00:00.000000","KARTHIK","BASAVANAHALLI","16","MALE","Calista Wise, 7292 Dictum Av. San Antonio MI 47096, (492)709-6392","MANJUNATH","BASAVANAHALLI","9096751122","Calista Wise, 7292 Dictum Av. San Antonio MI 47096, (492)709-6392","2016-11-23 15:54:13.327180","9199092912","1000","","","","","","","","","","1","1","2016-12-10 15:08:16.505351","NO VIOLATIONS","343-10-1212","0","","","","","","NONE"
"3","1","","","2017-07-09 00:00:00.000000","SACHIN","TENDULKAR","10","MALE","Bandra, Mumbai","RAMESH","TENDULKAR","9099099099","Bandra, Mumbai","2016-11-24 12:40:19.105645","9199092912","10000","","","","","","","","","","1","1","2016-12-10 15:04:28.064479","NO VIOLATIONS","000-11-2222","0","","","","","","NONE"
"4","1","","","2017-07-09 00:00:00.000000","VIRAT","KOHLI","20","MALE","Delhi, India","MR","KOHLI","9899899899","Delhi, India","2016-11-24 12:50:46.615292","9899899899","1000","","","","","","","","","","0","","","AGE IS NOT BETWEEN 8 AND 19","000-11-1111","","","","NONE","NONE","P ONTING, RICKY","6"
"5","1","","","2017-07-09 00:00:00.000000","SURESH","RAINA","13","MALE","100, N. Mills Ave, Claremont California -91711","MR","RAINA","9090099009","100, N. Mills Ave, Claremont California -91711","2016-11-26 17:22:11.901116","9090099009","1000","","","","","","","","","","2","1","2016-12-10 15:08:16.521385","APPLICATION HAS BEEN CANCELLED","123-45-6789","1","900.0","2016-12-10 15:09:01.981772","","","","NONE"
"6","1","","","2017-07-09 00:00:00.000000","RICKY","PONTING","11","MALE","Australia","GREAME","PONTING","1234567890","Australia","2016-11-26 19:03:08.001738","1234567890","1200","","","","","","","","","","1","1","2016-12-10 15:01:19.663156","NO VIOLATIONS","000-00-0000","0","","","","","","NONE"
"7","1","","","2017-07-09 00:00:00.000000","SONAL","RYDER","9","FEMALE","1244 West Main Stamford,CA 069122 USA","ZACKIE","RYDER","2033528600","1244 West Main Stamford,CA 069122 USA","2016-11-26 21:17:05.899819","2033528600","1000","","","","","","","","","","1","1","2016-12-10 15:11:55.041270","NO VIOLATIONS","100-22-3333","0","","","","","","NONE"
"8","1","","","2017-07-09 00:00:00.000000","JAYANT","RAO","17","MALE","Kalyan, India - 421304","GOVIND","RAO","9093447086","Kalyan, India - 421304","2016-11-26 21:19:52.986987","9093447086","1150","","","","","","","","","","1","1","2016-12-10 15:11:55.050136","NO VIOLATIONS","110-11-1234","0","","","","","","NONE"
"9","1","","","2017-07-09 00:00:00.000000","JAMES","BUTT","12","MALE","6649 N Blue Gum St, New Orleans, Orleans, LA 70116","FRANCOISE","BUTT","5199786179","6649 N Blue Gum St, New Orleans, Orleans, LA 70116","2016-11-26 21:22:44.662888","5199786179","1300","","","","","","","","","","1","1","2016-12-10 15:11:55.054147","NO VIOLATIONS","234-11-7788","0","","","","","","NONE"
"10","1","","","2017-07-09 00:00:00.000000","MITSUE","TOLLNER","15","MALE","7 Eads St, Chicago, Cook, IL 60632","HUI","TOLLNER","5062764830","7 Eads St, Chicago, Cook, IL 60632","2016-11-26 21:25:52.208938","5062764830","1000","","","","","","","","","","1","1","2016-12-10 15:11:55.057655","NO VIOLATIONS","123-45-6666","0","","","","","","NONE"
